time,ax,ay,az,atotal
258.05088210105896,0.12,3.28,-5.77,6.63
258.0524260997772,-3.02,2.2,4.59,5.91
258.0676820278168,0.7,-6.04,3.24,6.88
258.0687310695648,1.45,-1.74,7.46,7.79
258.0849452018738,-0.9,1.43,0.93,1.92
258.1030468940735,-0.76,-1.81,6.69,6.97
258.1044111251831,2.56,10.85,-12.51,16.75
258.1178231239319,1.92,-7.45,6.09,9.81
258.11891508102417,0.65,0.66,-8.71,8.75
258.1336932182312,-2.86,9.32,-6.69,11.82
258.15167212486267,-4.5,-7.29,0.74,8.59
258.15308904647827,0.18,3.35,-5.21,6.19
258.1674120426178,2.02,-7.43,22.53,23.8
258.16849303245544,0.41,4.93,-2.44,5.51
258.18352007865906,-2.15,10.76,15.04,18.61
258.2015199661255,1.97,-2.04,-5.09,5.82
258.2028851509094,0.64,9.14,-28.67,30.09
258.21681213378906,-2.54,-3.76,-17.18,17.76
258.21804189682007,-0.18,-11.11,0.62,11.12
258.23342204093933,-3.93,-4.72,-17.17,18.23
258.2511990070343,-6.19,-2.59,44.38,44.88
258.25257205963135,-1.07,4.61,-5.85,7.52
258.26726508140564,3.34,9.76,-13.62,17.08
258.2683310508728,-1.11,-9.54,24.23,26.06
258.28331303596497,4.87,5.2,-35.37,36.08
258.3011360168457,7.79,-2.38,4.94,9.52
258.30251693725586,3.7,-8.91,5.29,11.0
258.3179249763489,-6.88,10.39,-15.45,19.84
258.31901001930237,-6.78,-8.64,29.21,31.2
258.3334159851074,2.11,-12.64,0.55,12.82
258.35119819641113,6.63,10.09,0.32,12.07
258.352637052536,-2.54,5.56,11.69,13.19
258.3676710128784,-4.98,-0.54,-25.2,25.69
258.3687620162964,-1.56,-1.59,-1.72,2.81
258.3839349746704,0.33,2.94,-13.15,13.47
258.40269899368286,0.79,0.66,-9.41,9.46
258.40408301353455,-2.06,-10.81,28.56,30.6
258.4176859855652,-1.72,3.74,-1.99,4.57
258.41873502731323,2.43,6.03,9.01,11.11
258.433895111084,3.38,1.72,-20.31,20.66
258.45168924331665,0.23,7.44,-9.54,12.1
258.45303606987,-2.92,-4.56,9.14,10.62
258.4680471420288,0.71,-9.45,4.84,10.64
258.4691410064697,1.84,3.21,8.76,9.5
258.4839949607849,-2.93,-1.33,5.0,5.94
258.5032482147217,-2.21,-3.54,-0.98,4.28
258.5045680999756,0.0,8.72,-12.41,15.16
258.5179738998413,-0.03,-3.89,-8.4,9.25
258.5190529823303,-2.35,2.77,-6.08,7.08
258.53397512435913,-0.36,-0.96,8.7,8.76
258.5518321990967,3.01,-13.02,11.65,17.72
258.5532479286194,5.91,-9.52,13.98,17.91
258.5675730705261,3.72,0.2,5.33,6.5
258.56862902641296,0.14,5.92,10.89,12.39
258.5841341018677,-4.8,10.21,-14.46,18.34
258.60281705856323,-8.05,5.43,-14.75,17.65
258.60422801971436,-3.21,0.25,-20.22,20.47
258.6200442314148,1.47,5.66,-14.93,16.03
258.6211271286011,4.19,-9.8,-3.35,11.17
258.6332290172577,4.05,-12.56,28.19,31.12
258.6512188911438,1.48,8.98,22.8,24.54
258.6525740623474,0.84,6.49,-2.99,7.19
258.66751408576965,1.96,-4.9,0.67,5.31
258.66864013671875,-1.26,-4.5,-39.08,39.35
258.68390107154846,-4.07,0.66,-9.82,10.65
258.7020049095154,-4.13,3.98,5.9,8.22
258.7033910751343,-0.84,-13.36,14.02,19.38
258.717707157135,2.97,-10.49,15.24,18.73
258.7187809944153,-0.1,10.34,9.71,14.18
258.73381090164185,3.51,-4.11,10.71,11.99
258.7516951560974,10.85,-2.45,-9.67,14.73
258.7530620098114,6.93,6.03,-12.35,15.39
258.76824402809143,-7.8,5.03,-11.37,14.67
258.76933097839355,-11.76,-8.89,-1.44,14.81
258.7832040786743,-2.86,-7.97,0.87,8.51
258.8011679649353,4.87,4.94,-12.24,14.06
258.80254101753235,-2.66,2.22,-9.89,10.47
258.81823110580444,-6.66,1.31,21.81,22.84
258.8192880153656,5.19,4.72,9.75,12.01
258.8337712287903,6.28,0.42,-7.83,10.04
258.8517789840698,-5.55,5.45,3.19,8.4
258.8531131744385,-6.41,-5.32,7.32,11.08
258.86794090270996,2.0,4.78,1.01,5.27
258.8690240383148,2.88,11.74,-3.54,12.59
258.8839511871338,1.93,-21.3,2.87,21.57
258.90196895599365,-0.43,5.88,-12.46,13.78
258.90340995788574,-3.46,15.9,11.32,19.82
258.9182460308075,-1.1,-11.62,8.66,14.53
258.91932821273804,3.71,10.51,-9.76,14.81
258.9340901374817,-3.33,0.54,-4.6,5.7
258.95286798477173,-4.12,-0.76,1.59,4.48
258.9542942047119,-1.2,-9.74,-16.13,18.88
258.968465089798,-4.66,3.3,-0.29,5.71
258.9695382118225,-5.79,4.07,13.36,15.11
258.98388290405273,3.33,-6.39,9.07,11.58
259.0017981529236,6.65,4.45,-4.45,9.15
259.00320506095886,-4.63,2.98,-9.55,11.02
259.0183939933777,-6.43,-4.03,-7.05,10.35
259.0194811820984,3.11,-12.06,6.5,14.04
259.0342791080475,8.39,-7.31,4.57,12.02
259.0521311759949,-4.87,11.65,9.82,15.99
259.0535669326782,-10.13,-0.83,6.73,12.19
259.0683100223541,1.48,-2.0,-7.56,7.95
259.0693712234497,6.17,9.26,-22.39,25.0
259.0838370323181,-4.71,8.24,-21.01,23.05
259.1020510196686,-5.2,-11.18,6.09,13.75
259.10345697402954,6.27,-17.83,11.12,21.92
259.11829805374146,13.96,-6.07,27.08,31.06
259.11939811706543,-4.91,14.05,-14.53,20.79
259.1339359283447,-7.07,7.43,14.11,17.44
259.1518430709839,-0.51,-15.37,-23.33,27.94
259.15321803092957,5.81,-1.11,-8.56,10.4
259.16785192489624,3.09,1.9,15.57,15.98
259.16895818710327,-0.97,6.23,22.79,23.64
259.18369913101196,0.62,11.48,4.24,12.25
259.2017021179199,4.53,-7.59,-0.81,8.87
259.2031478881836,3.12,-5.19,-16.13,17.22
259.21844005584717,-6.53,6.88,-34.86,36.12
259.2195382118225,-0.92,-3.4,11.38,11.91
259.2347390651703,0.2,-12.18,-3.11,12.57
259.25277614593506,0.72,0.45,7.91,7.95
259.2542440891266,5.02,-5.97,30.54,31.52
259.2680459022522,-4.8,15.73,-31.6,35.62
259.26911211013794,2.91,-4.24,31.81,32.22
259.2838740348816,-3.13,-9.84,-35.85,37.3
259.3020648956299,-3.21,10.37,-19.52,22.33
259.30347204208374,8.51,7.16,11.56,16.04
259.31802105903625,-0.67,-25.13,-21.16,32.85
259.31911301612854,-5.54,-9.07,3.67,11.24
259.334144115448,-1.82,15.32,54.33,56.47
259.35191202163696,3.06,4.8,-11.79,13.09
259.35326290130615,1.95,15.52,-9.2,18.14
259.36808919906616,1.37,-16.55,-14.84,22.27
